Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Lake Success N.Y.,Financial Data Services,Timothy C. Gokey,https://www.broadridge.com,Public,BR,$4362.2,$482.1,$10886.7,11000,$4362.2,$482.1,$3880.7,$1127.5,11.1%,12.4%,42.8%,4.06,14%,13.9%,9.9%,30.7%,24%,21.2%,
U.S.,Ewing N.J.,Household and Personal Products,Matthew T. Farrell,https://www.churchdwight.com,Public,CHD,$4357.7,$615.9,$15773.9,4800,$4357.7,$615.9,$6657.4,$2667.8,14.1%,9.3%,23.1%,2.44,7.5%,10.1%,11.1%,8.3%,14%,18.4%,
U.S.,Orlando Fla.,Hotels Casinos Resorts,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,Public,VAC,$4355,$138,$2280.3,22000,$4355,$138,$9214,$3019,3.2%,1.5%,4.6%,3.09,91.9%,5.8%,-,86.4%,13.3%,-,
U.S.,Irvine Calif.,Medical Products and Equipment,Michael A. Mussallem,https://www.edwards.com,Public,EW,$4348,$1046.9,$39105.8,13900,$4348,$1046.9,$6488.1,$4148.3,24.1%,16.1%,25.2%,4.93,45.9%,5.7%,17.6%,52.3%,29.6%,26.8%,
U.S.,Annapolis Junction Md.,Industrial Machinery,Matthew L. Trerotola,https://www.colfaxcorp.com,Public,CFX,$4326.3,$-527.6,$2339.3,15000,$4326.3,$-527.6,$7386.8,$3441.4,-12.2%,-7.1%,-15.3%,-3.89,-435.3%,-,-,74.1%,-6.7%,11.7%,
U.S.,Kingwood Texas,Diversified Outsourcing Services,Paul J. Sarvadi,https://www.insperity.com,Public,NSP,$4314.8,$151.1,$1468.9,3500,$4314.8,$151.1,$1395,$4.1,3.5%,10.8%,3704.3%,3.7,14.9%,47.8%,27.3%,-6.8%,40.7%,25.5%,
U.S.,Pittsburgh Pa.,Specialty Retailers: Apparel,Jay L. Schottenstein,https://www.aeo-inc.com,Public,AEO,$4308.2,$191.3,$1329.3,27000,$4308.2,$191.3,$3328.7,$1247.9,4.4%,5.7%,15.3%,1.12,-23.8%,21.7%,3.3%,-22.3%,4.1%,2.6%,
U.S.,Santa Rosa Calif.,ScientificPhotographic and Control Equipment,Ronald S. Nersesian,https://www.keysight.com,Public,KEYS,$4303,$621,$15681.2,13600,$4303,$621,$6623,$3004,14.4%,9.4%,20.7%,3.25,277.9%,-,-,65.3%,24.9%,-,
U.S.,Charlotte N.C.,Building Materials Glass,Gary S. Michel,https://www.jeld-wen.com,Public,JELD,$4289.8,$63,$980.3,23300,$4289.8,$63,$3381.3,$812.1,1.5%,1.9%,7.8%,0.62,-53.4%,-,-,64.7%,-,-,
U.S.,Boston Mass.,Diversified Outsourcing Services,William L. Meaney,https://www.ironmountain.com,Public,IRM,$4262.6,$267.4,$6838.8,25000,$4262.6,$267.4,$13816.8,$1464,6.3%,1.9%,18.3%,0.93,-26.8%,-10.9%,-1.5%,5.9%,2.2%,10.7%,
U.S.,New York N.Y.,Securities,Adena T. Friedman,https://www.nasdaq.com,Public,NDAQ,$4262,$774,$15604.8,4361,$4262,$774,$13924,$5639,18.2%,5.6%,13.7%,4.63,69.6%,14.1%,14%,33.8%,19.7%,20%,
U.S.,Stamford Conn.,Information Technology Services,Eugene A. Hall,https://www.gartner.com,Public,IT,$4245.3,$233.3,$8871.8,16724,$4245.3,$233.3,$7151.3,$938.6,5.5%,3.3%,24.9%,2.56,92.5%,4.7%,11.7%,20.5%,12.8%,23.9%,
U.S.,Hunt Valley Md.,Entertainment,Christopher S. Ripley,https://www.sbgi.net,Public,SBGI,$4240,$47,$1472.5,11800,$4240,$47,$17370,$1502,1.1%,0.3%,3.1%,0.51,-84.8%,-25.1%,-,29.1%,6.4%,28.5%,
U.S.,Black Mountain N.C.,Food & Drug Stores,James W. Lanning,https://www.ingles-markets.com,Public,IMKTA,$4202,$81.6,$732.6,18630,$4202,$81.6,$1867.3,$662.7,1.9%,4.4%,12.3%,-,-,-,-,78.2%,7%,15.6%,
U.S.,Corona Calif.,Beverages,Rodney C. Sacks,https://www.monsterbevcorp.com,Public,MNST,$4200.8,$1107.8,$30205.8,3092,$4200.8,$1107.8,$5150.4,$4171.3,26.4%,21.5%,26.6%,2.03,15.3%,17.1%,18.6%,29.1%,12%,25.8%,
U.S.,El Dorado Ark.,Mining Crude-Oil Production,Roger W. Jenkins,https://www.murphyoilcorp.com,Public,MUR,$4194,$1149.7,$941.4,822,$4194,$1149.7,$11718.5,$5467.5,27.4%,9.8%,21%,6.98,195.8%,6.8%,4.8%,19.6%,-8.3%,-2.1%,
U.S.,Boston Mass.,Pharmaceuticals,Reshma Kewalramani,https://www.vrtx.com,Public,VRTX,$4162.8,$1176.8,$61693,3000,$4162.8,$1176.8,$8318.5,$6085.2,28.3%,14.1%,19.3%,4.51,-44.3%,-,-,32.1%,13%,17.7%,
U.S.,San Francisco Calif.,Commercial Banks,James H. Herbert II,https://www.firstrepublic.com,Public,FRC,$4156.7,$930.3,$14093.5,4812,$4156.7,$930.3,$116263.6,$9851.1,22.4%,0.8%,9.4%,5.2,8.1%,11.1%,-,36.2%,18.6%,-,
U.S.,Tampa Fla.,Food Services,David J. Deno,https://www.bloominbrands.com,Public,BLMN,$4139.4,$130.6,$621.4,94000,$4139.4,$130.6,$3592.7,$170.3,3.2%,3.6%,76.7%,1.45,27.2%,15.4%,-,26%,-0.7%,-,
U.S.,Middleton Wis.,Household and Personal Products,David M. Maura,https://www.spectrumbrands.com,Public,SPB,$4138.8,$471.9,$1669.2,13000,$4138.8,$471.9,$5230.5,$1698.3,11.4%,9%,27.8%,9.31,-55.1%,-,-,56.7%,-5.2%,4.4%,
U.S.,Sussex Wis.,Publishing Printing,J. Joel Quadracci,https://www.quad.com,Public,QUAD,$4137.2,$-156.3,$136,19600,$4137.2,$-156.3,$2417.1,$226.6,-3.8%,-6.5%,-69%,-3.12,-2050%,-,-,-57.3%,-21.6%,-,
U.S.,Thomasville Ga.,Food Consumer Products,A. Ryals McMullian,https://www.flowersfoods.com,Public,FLO,$4124,$164.5,$4341.3,9700,$4124,$164.5,$3177.8,$1263.4,4%,5.2%,13%,0.78,5.4%,-1%,2.2%,21.8%,6%,10.8%,
U.S.,Madison Wis.,Insurance: Life Health (stock),Robert N. Trunzo,https://www.cunamutual.com,Private,,$4122.7,$219.6,$,3600,$4122.7,$219.6,$24609.6,$4093.4,5.3%,0.9%,5.4%,-,-,-,-,-,-,-,
U.S.,Pittsburgh Pa.,Metals,Robert S. Wetherbee,https://www.atimetals.com,Public,ATI,$4122.5,$257.6,$1076.3,8100,$4122.5,$257.6,$5634.6,$2090.1,6.2%,4.6%,12.3%,1.85,14.9%,-,19.2%,-5.1%,-9.1%,-6.2%,
U.S.,Thomasville N.C.,Trucking Truck Leasing,Greg C. Gantt,https://www.odfl.com,Public,ODFL,$4109.1,$615.5,$15691.6,20105,$4109.1,$615.5,$3995.6,$3080.7,15%,15.4%,20%,5.11,3.8%,19.8%,33.8%,54.3%,19.9%,30.3%,
U.S.,Jacksonville Fla.,Trucking Truck Leasing,James B. Gattoni,https://www.landstar.com,Public,LSTR,$4089.6,$227.7,$3784.9,1333,$4089.6,$227.7,$1427.7,$721.5,5.6%,16%,31.6%,5.72,-7.4%,13.3%,15.4%,19.8%,10.6%,12.4%,
U.S.,Galveston Texas,Insurance: Life Health (stock),James E. Pozzi,https://www.americannational.com,Public,ANAT,$4070.1,$620.4,$2215,4640,$4070.1,$620.4,$28597.6,$5989.7,15.2%,2.2%,10.4%,23.07,290.4%,20.2%,44.3%,-5%,3.5%,3.1%,
U.S.,Kenosha Wis.,Industrial Machinery,Nicholas T. Pinchuk,https://www.snapon.com,Public,SNA,$4067.7,$693.5,$5951.1,12800,$4067.7,$693.5,$5693.5,$3409.1,17%,12.2%,20.3%,12.41,4.5%,11.7%,18.3%,19.5%,6.4%,17.2%,
U.S.,Brentwood Tenn.,Health Care: Medical Facilities,Lucinda M. Baier,https://www.brookdale.com,Public,BKD,$4057.1,$-267.9,$574.9,48400,$4057.1,$-267.9,$7194.4,$696.4,-6.6%,-3.7%,-38.5%,-1.44,-,-,-,8.5%,-27.6%,-8.8%,
U.S.,Tempe Ariz.,Semiconductors and Other Electronic Components,Geil Rutten,https://www.amkor.com,Public,AMKR,$4052.7,$120.9,$1877.8,29650,$4052.7,$120.9,$4695.6,$1963.7,3%,2.6%,6.2%,0.5,-5.7%,-1.9%,-2.9%,98.2%,12.9%,6.1%,
U.S.,Orlando Fla.,Hotels Casinos Resorts,Michael D. Brown,https://www.wyndhamdestinations.com,Public,WYND,$4043,$507,$1894.5,22500,$4043,$507,$7453,$-530,12.5%,6.8%,-,5.48,-19.1%,5.6%,13%,50.1%,9.2%,21.9%,
U.S.,Wilmington N.C.,Health Care: Pharmacy and Other Services,David S. Simmons,https://www.ppdi.com,Public,PPD,$4031,$47.8,$6208.2,23000,$4031,$47.8,$5556.2,$-2698.1,1.2%,0.9%,-,-,-,-,-,-,-,-,
U.S.,Charlotte N.C.,Medical Products and Equipment,Donald M. Casey Jr.,https://www.dentsplysirona.com,Public,XRAY,$4029.2,$262.9,$8598.5,15200,$4029.2,$262.9,$8602.9,$5092.5,6.5%,3.1%,5.2%,1.17,-,-12.2%,-4.4%,53.2%,1.8%,5.5%,
U.S.,Carmel Ind.,Insurance: Life Health (stock),Gary C. Bhojwani,https://www.cnoinc.com,Public,CNO,$4015.8,$409.4,$1795.1,3300,$4015.8,$409.4,$33630.9,$4677,10.2%,1.2%,8.8%,2.61,-,61.2%,19.2%,25%,3%,15.2%,
U.S.,Philadelphia Pa.,Specialty Retailers: Apparel,Richard A. Hayne,https://www.urbn.com,Public,URBN,$3983.8,$168.1,$1392.3,16800,$3983.8,$168.1,$3315.6,$1455.4,4.2%,5.1%,11.6%,1.67,-38.6%,-0.1%,2.7%,-16.4%,-4.6%,-2.3%,
U.S.,Southlake Texas,Internet Services and Retailing,Sean E. Menke,https://www.sabre.com,Public,SABR,$3975,$158.6,$1623.4,9250,$3975,$158.6,$5690,$939.1,4%,2.8%,16.9%,0.57,-53.3%,19.9%,-,6.3%,4.3%,-,
U.S.,Los Angeles Calif.,Insurance: Property and Casualty (Stock),Gabriel Tirador,https://www.mercuryinsurance.com,Public,MCY,$3972.5,$320.1,$2254.2,4500,$3972.5,$320.1,$5889.2,$1799.5,8.1%,5.4%,17.8%,5.78,-,12.3%,-2.3%,-1.2%,1.7%,7.6%,
U.S.,Midland Texas,Mining Crude-Oil Production,Travis D. Stice,https://www.diamondbackenergy.com,Public,FANG,$3964,$240,$4147.1,712,$3964,$240,$23531,$13249,6.1%,1%,1.8%,1.47,-81.8%,-16.6%,-,0.9%,9.4%,-,
U.S.,Centreville Va.,Aerospace & Defense,Charles L. Harrington,https://www.parsons.com,Public,PSN,$3954.8,$120.5,$3217.4,15879,$3954.8,$120.5,$3450.4,$1629.9,3%,3.5%,7.4%,1.3,-,-,-,-,-,-,
U.S.,Atlanta Ga.,Specialty Retailers: Other,John W. Robinson III,https://www.aarons.com,Public,AAN,$3947.7,$31.5,$1520.4,12100,$3947.7,$31.5,$3297.8,$1737.3,0.8%,1%,1.8%,0.46,-83.5%,-15.7%,-10.4%,36.2%,13.7%,12.3%,
U.S.,Irving Texas,Industrial Machinery,R. Scott Rowe,https://www.flowserve.com,Public,FLS,$3944.9,$253.7,$3127.2,17000,$3944.9,$253.7,$4919.6,$1790.4,6.4%,5.2%,14.2%,1.93,112.1%,-12.5%,-2.7%,33%,-2.1%,6.1%,
U.S.,Tempe Ariz.,Automotive Retailing Services,Ernest C. Garcia,https://www.carvana.com,Public,CVNA,$3939.9,$-114.7,$8480,7324,$3939.9,$-114.7,$2057.7,$98.1,-2.9%,-5.6%,-116.9%,-2.45,-,-,-,181.4%,-,-,
U.S.,Calabasas Calif.,Temporary Help,Theodore S. Hanson,https://www.asgn.com,Public,ASGN,$3923.9,$174.7,$1872,4300,$3923.9,$174.7,$2941.4,$1376.2,4.5%,5.9%,12.7%,3.28,10.1%,18.2%,38.1%,30.2%,16.4%,25.8%,
U.S.,Denton Texas,Specialty Retailers: Other,Christian A. Brickman,https://www.sallybeautyholdings.com,Public,SBH,$3876.4,$271.6,$943.6,30050,$3876.4,$271.6,$2098.4,$-60.3,7%,12.9%,-,2.26,8.7%,8.4%,15.4%,7%,-9.9%,9.1%,
U.S.,Greenville S.C.,Wholesalers: Electronics and Office Equipment,Michael L. Baur,https://www.scansource.com,Public,SCSC,$3873.1,$57.6,$542.1,2700,$3873.1,$57.6,$2067.3,$914.1,1.5%,2.8%,6.3%,2.24,73.6%,-4.8%,2.3%,7.5%,-1.7%,3.3%,
U.S.,Chicago Ill.,Real estate,Debra A. Cafaro,https://www.ventasreit.com,Public,VTR,$3872.8,$433,$9992.7,516,$3872.8,$433,$24692.2,$10445.9,11.2%,1.8%,4.1%,1.17,2.6%,-6.1%,-3.9%,3.4%,3.2%,9%,
U.S.,Bloomington Ill.,Insurance: Property and Casualty (Mutual),Jim Jacobs,https://www.countryfinancial.com,Private,,$3868.1,$167.3,$,3839,$3868.1,$167.3,$15724.8,$4110.1,4.3%,1.1%,4.1%,-,-,-,-,-,-,-,
U.S.,Dublin Calif.,Diversified Outsourcing Services,Burton M. Goldfield,https://www.trinet.com,Public,TNET,$3856,$212,$2589.1,2900,$3856,$212,$2748,$475,5.5%,7.7%,44.6%,2.99,12.8%,68.5%,-,34.9%,12.6%,-,
U.S.,Miramar Fla.,Airlines,Edward M. Christie III,https://www.spirit.com,Public,SAVE,$3830.5,$335.3,$882.4,8938,$3830.5,$335.3,$7043.4,$2261.3,8.8%,4.8%,14.8%,4.89,114.5%,9.7%,-,-30.4%,-11.8%,-,
U.S.,Dallas Texas,Commercial Banks,Curtis C. Farmer,https://www.comerica.com,Public,CMA,$3817,$1198,$4117.7,7708,$3817,$1198,$73402,$7327,31.4%,1.6%,16.4%,7.87,9.3%,20%,-,8.5%,11.3%,11.2%,
U.S.,Richardson Texas,Industrial Machinery,Todd M. Bluedorn,https://www.lennoxinternational.com,Public,LII,$3807.2,$408.7,$7016.9,11200,$3807.2,$408.7,$2034.9,$-170.2,10.7%,20.1%,-,10.38,18.8%,19.7%,27.7%,12.7%,22.1%,21.7%,
U.S.,North Canton Ohio,Industrial Machinery,Richard G. Kyle,https://www.timken.com,Public,TKR,$3789.9,$362.1,$2451.8,18829,$3789.9,$362.1,$4859.9,$1868.2,9.6%,7.5%,19.4%,4.71,22%,20.3%,-,54.7%,8.5%,15.3%,
U.S.,Rochester N.Y.,Diversified Outsourcing Services,Martin Mucci,https://www.paychex.com,Public,PAYX,$3772.5,$1034.4,$22570.4,15450,$3772.5,$1034.4,$8676,$2619.5,27.4%,11.9%,39.5%,2.86,10.9%,10.8%,6.8%,34.4%,16.6%,14.8%,
U.S.,Reno Nev.,Trucking Truck Leasing,Edward J. Shoen,https://www.amerco.com,Public,UHAL,$3768.7,$370.9,$5697,21900,$3768.7,$370.9,$11891.7,$3692.4,9.8%,3.1%,10%,18.93,-53.1%,1.6%,98.4%,15%,6.5%,23.5%,
U.S.,Columbus Ohio,Metals,John P. McConnell,https://www.worthingtonindustries.com,Public,WOR,$3759.6,$153.5,$1433.2,12000,$3759.6,$153.5,$2510.8,$831.2,4.1%,6.1%,18.5%,2.61,-15.5%,4.3%,-,24%,9.3%,14.9%,
U.S.,Eagle Idaho,Food Consumer Products,Thomas P. Werner,https://www.lambweston.com,Public,LW,$3756.5,$478.6,$8341.9,7600,$3756.5,$478.6,$3048.1,$-4.6,12.7%,15.7%,-,3.18,12.8%,-,-,18.3%,-,-,
U.S.,Baltimore Md.,Education,Eilif Serck-Hanssen,https://www.laureate.net,Public,LAUR,$3752.1,$938.5,$2203.3,41000,$3752.1,$938.5,$6515.6,$2817,25%,14.4%,33.3%,4.22,143.9%,-,-,15.6%,-,-,
U.S.,Horsham Pa.,Insurance: Life Health (stock),Eileen C. McDonnell,https://www.pennmutual.com,Private,,$3705.1,$396,$,3318,$3705.1,$396,$36678.6,$5098,10.7%,1.1%,7.8%,-,-,-,-,-,-,-,
U.S.,San Antonio Texas,Entertainment,Robert W. Pittman,https://www.iheartmedia.com,Public,IHRT,$3683.5,$,$1073.8,11400,$3683.5,-,$11021.1,$2936.3,-,-,-,-,-,-,-,-,-,-,
U.S.,Richmond Va.,Diversified Outsourcing Services,Douglas A. Pertz,https://www.brinks.com,Public,BCO,$3683.2,$29,$2625.2,64300,$3683.2,$29,$3763.8,$191.8,0.8%,0.8%,15.1%,0.57,-,-,-18.1%,41.3%,31.3%,15.5%,
U.S.,Stevens Point Wis.,Insurance: Property and Casualty (Mutual),Peter G. McPartland,https://www.sentry.com,Private,,$3680.8,$324.3,$,4217,$3680.8,$324.3,$19752.6,$6001.2,8.8%,1.6%,5.4%,-,-,-,-,-,-,-,
U.S.,Atlanta Ga.,Electronics Electrical Equip.,Neil M. Ashe,https://www.acuitybrands.com,Public,AYI,$3672.7,$330.4,$3393.8,12000,$3672.7,$330.4,$3172.4,$1918.9,9%,10.4%,17.2%,8.29,-2.7%,15.4%,15.1%,20.5%,-,15.2%,
U.S.,Oak Brook Ill.,Transportation and Logistics,David P. Yeager,https://www.hubgroup.com,Public,HUBG,$3668.1,$107.2,$1557.3,5000,$3668.1,$107.2,$1991.6,$1075.3,2.9%,5.4%,10%,3.2,-46.8%,18%,13.4%,38.4%,6.1%,6.7%,
U.S.,Scottsdale Ariz.,Homebuilders,Steven J. Hilton,https://www.meritagehomes.com,Public,MTH,$3666.9,$249.7,$1372.7,1510,$3666.9,$249.7,$3398.2,$1974,6.8%,7.3%,12.6%,6.42,15.1%,13.2%,-,66.4%,11.2%,12.2%,
U.S.,Houston Texas,Oil and Gas Equipment Services,Andrew R. Lane,https://www.mrcglobal.com,Public,MRC,$3662,$39,$349.6,3345,$3662,$39,$2325,$997,1.1%,1.7%,3.9%,0.18,-66.7%,-33.7%,-,11.5%,-2.1%,-,
U.S.,Madison Wis.,Utilities: Gas and Electric,John O. Larsen,https://www.alliantenergy.com,Public,LNT,$3647.7,$557.2,$11832.5,3597,$3647.7,$557.2,$16700.7,$5205.1,15.3%,3.3%,10.7%,2.33,6.4%,6.1%,16.5%,33.3%,14.1%,17.9%,
U.S.,Pleasanton Calif.,Computer Software,Aneel Bhusri,https://www.workday.com,Public,WDAY,$3627.2,$-480.7,$30211,12200,$3627.2,$-480.7,$6816.4,$2486.6,-13.3%,-7.1%,-19.3%,-2.12,-,-,-,3%,15%,-,
U.S.,Raleigh N.C.,Wholesalers: Diversified,David E. Flitman,https://www.buildwithbmc.com,Public,BMCH,$3626.6,$109.8,$1183.3,10200,$3626.6,$109.8,$1906.1,$981.5,3%,5.8%,11.2%,1.63,-7.9%,5.5%,-,85.3%,13.4%,-,
U.S.,New Albany Ohio,Specialty Retailers: Apparel,Fran Horowitz,https://www.abercrombie.com,Public,ANF,$3623.1,$39.4,$559.9,26000,$3623.1,$39.4,$3549.7,$1058.8,1.1%,1.1%,3.7%,0.6,-44.4%,-3.3%,71%,-9.9%,-5.6%,-3.9%,
U.S.,Ann Arbor Mich.,Food Services,Richard E. Allison,https://www.dominos.com,Public,DPZ,$3618.8,$400.7,$12647.1,13100,$3618.8,$400.7,$1382.1,$-3415.8,11.1%,29%,-,9.56,14.5%,27.3%,21.4%,19.6%,26.8%,44.9%,
U.S.,San Francisco Calif.,Internet Services and Retailing,Logan Green,https://ww.lyft.com,Public,LYFT,$3616,$-2602.2,$8233.3,5683,$3616,$-2602.2,$5691.4,$2854.1,-72%,-45.7%,-91.2%,-11.44,-,-,-,-,-,-,
U.S.,Des Moines Iowa,Publishing Printing,Thomas H. Harty,https://www.meredith.com,Public,MDP,$3611.9,$46.3,$554.1,5615,$3611.9,$46.3,$6136.9,$1514.8,1.3%,0.8%,3.1%,-0.7,-147.6%,-,-,-34.1%,-6%,4.5%,
U.S.,Camden N.J.,Miscellaneous,Walter J. Lynch,https://www.amwater.com,Public,AWK,$3610,$621,$21642.7,6800,$3610,$621,$22682,$6121,17.2%,2.7%,10.1%,3.43,8.9%,7.9%,-,37.6%,20.6%,21.6%,
U.S.,Charlotte N.C.,Chemicals,,https://www.albemarle.com,Public,ALB,$3589.4,$533.2,$5993.2,6000,$3589.4,$533.2,$9860.9,$3932.3,14.9%,5.4%,13.6%,5.02,-20.8%,24.3%,10%,-3.4%,5.7%,8.9%,
U.S.,Hanover Md.,Network and Other Communications Equipment,Gary B. Smith,https://www.ciena.com,Public,CIEN,$3572.1,$253.4,$6111,6383,$3572.1,$253.4,$3893.3,$2172.8,7.1%,6.5%,11.7%,1.61,-,-,-,25.9%,17.1%,14.7%,
U.S.,New York N.Y.,Specialty Retailers: Other,James Daunt,https://www.barnesandnobleinc.com,Private,,$3552.7,$3.8,$,15538,$3552.7,$3.8,$1705.6,$444.5,0.1%,0.2%,0.8%,0.05,-,-,-,-,-,-,
U.S.,Sunbury Pa.,Food & Drug Stores,Jonathan H. Weis,https://www.weismarkets.com,Public,WMK,$3543.3,$68,$1120.6,23000,$3543.3,$68,$1675.6,$1058.7,1.9%,4.1%,6.4%,2.53,8.6%,4.6%,0.8%,-12.6%,-0.7%,4.2%,
U.S.,San Diego Calif.,ScientificPhotographic and Control Equipment,Francis A. deSouza,https://www.illumina.com,Public,ILMN,$3543,$1002,$40148.6,7700,$3543,$1002,$7316,$4613,28.3%,13.7%,21.7%,6.74,21.2%,23.2%,29%,10.6%,12.4%,26.9%,
U.S.,Santa Clara Calif.,Commercial Banks,Gregory W. Becker,https://www.svb.com,Public,SIVB,$3530.9,$1136.9,$7787.7,3564,$3530.9,$1136.9,$71004.9,$6470.3,32.2%,1.6%,17.6%,21.73,20%,32.6%,41.8%,32.2%,16.7%,19.7%,
U.S.,Atlanta Ga.,Apparel,Michael D. Casey,https://www.carters.com,Public,CRI,$3519.3,$263.8,$2887.4,20300,$3519.3,$263.8,$2753.1,$880.1,7.5%,9.6%,30%,5.85,-2.5%,10.1%,11.5%,36.8%,6.2%,16.4%,
U.S.,St. Louis Mo.,Securities,Ronald J. Kruszewski,https://www.stifel.com,Public,SF,$3515,$448.4,$2870.3,8205,$3515,$448.4,$24610.2,$3614.8,12.8%,1.8%,12.4%,5.49,16.1%,18.9%,13.4%,47.9%,4%,4.6%,
U.S.,Sunrise Fla.,Health Care: Pharmacy and Other Services,Mark S. Ordan,https://www.mednax.com,Public,MD,$3513.5,$-1497.7,$981,9480,$3513.5,$-1497.7,$4145.9,$1499,-42.6%,-36.1%,-99.9%,-17.94,-712.3%,-,-,-15.8%,-15.9%,-0.8%,
U.S.,Atlanta Ga.,Financial Data Services,Mark W. Begor,https://www.equifax.com,Public,EFX,$3507.6,$-398.8,$14569.4,11200,$3507.6,$-398.8,$7909,$2578.6,-11.4%,-5%,-15.5%,-3.27,-232.4%,-,-,52.2%,13%,17.8%,
U.S.,Carmel Ind.,Wholesalers: Diversified,James P. Hallett,https://www.karauctionservices.com,Public,KAR,$3505.5,$188.5,$1546.4,13311,$3505.5,$188.5,$6581.2,$1650.2,5.4%,2.9%,11.4%,1.42,-41.3%,3.6%,21.1%,19.8%,13.1%,17.4%,
U.S.,Covington Ky.,Chemicals,Guillermo Novo,https://www.ashland.com,Public,ASH,$3505,$505,$3016.6,4700,$3505,$505,$7251,$3571,14.4%,7%,14.1%,8.03,348.6%,21.8%,23.7%,9.4%,6.3%,15.9%,
U.S.,Cleveland Ohio,Insurance: Life Health (Mutual),Richard A. Chiricosta,https://www.medmutual.com,Private,,$3502.7,$83.7,$,2801,$3502.7,$83.7,$2541.8,$1747.4,2.4%,3.3%,4.8%,-,-,-,-,-,-,-,
U.S.,Portsmouth N.H.,Oil and Gas Equipment Services,David C. Glendon,https://www.spragueenergy.com,Public,SRLP,$3502.4,$31.3,$299.1,770,$3502.4,$31.3,$1275.5,$93.8,0.9%,2.5%,33.3%,1.1,-65.2%,-28.4%,-,35.4%,4.1%,-,
U.S.,San Jose Calif.,Computers Office Equipment,Charles Liang,https://www.supermicro.com,Public,SMCI,$3500.4,$71.9,$1090.8,3670,$3500.4,$71.9,$1682.6,$941,2.1%,4.3%,7.6%,1.39,56.2%,3.7%,13%,74.1%,-7.2%,8%,
U.S.,Columbus Ohio,Specialty Retailers: Apparel,Roger L. Rawlins,https://www.designerbrands.com,Public,DBI,$3492.7,$94.5,$357.3,16100,$3492.7,$94.5,$2465.1,$720.9,2.7%,3.8%,13.1%,1.27,-,-5.6%,-,-33.1%,-12.8%,-,
U.S.,Stamford Conn.,Computers Office Equipment,Marc B. Lautenbach,https://www.pitneybowes.com,Public,PBI,$3477.7,$194.6,$349.6,11000,$3477.7,$194.6,$5466.9,$286.1,5.6%,3.6%,68%,1.1,-7.6%,-7.7%,-6%,-29%,-26.5%,-10.8%,
U.S.,Cleveland Ohio,Wholesalers: Diversified,Neil A. Schrimsher,https://www.applied.com,Public,AIT,$3472.7,$144,$1768.4,6650,$3472.7,$144,$2331.7,$897,4.1%,6.2%,16.1%,3.68,1.9%,6.6%,14%,26.3%,10.2%,14.1%,
U.S.,Phoenix Ariz.,Utilities: Gas and Electric,Jeffrey B Guldner,https://www.pinnaclewest.com,Public,PNW,$3471.2,$538.3,$8521.8,6210,$3471.2,$538.3,$18479.2,$5430.6,15.5%,2.9%,9.9%,4.77,5.1%,5.9%,21.7%,9%,9.3%,13.8%,
U.S.,West Des Moines Iowa,Insurance: Life Health (stock),Anant Bhalla,https://www.american-equity.com,Public,AEL,$3464.3,$246.1,$1716.3,608,$3464.3,$246.1,$69696.6,$4570.1,7.1%,0.4%,5.4%,2.68,-46.5%,11.1%,8.5%,8.2%,1.4%,16%,
U.S.,Santa Clara Calif.,Computer Software,William R. McDermott,https://www.servicenow.com,Public,NOW,$3460.4,$626.7,$54392.9,10371,$3460.4,$626.7,$6022.4,$2127.9,18.1%,10.4%,29.5%,3.18,-,-,-,58.6%,33%,-,
U.S.,San Francisco Calif.,Internet Services and Retailing,Jack Dorsey,https://www.twitter.com,Public,TWTR,$3459.3,$1465.7,$19213,4900,$3459.3,$1465.7,$12703.4,$8704.4,42.4%,11.5%,16.8%,1.87,19.9%,-,-,11.5%,-2.2%,-,
U.S.,Indianapolis Ind.,Petroleum Refining,Stephen P. Mawer,https://www.calumetspecialty.com,Public,CLMT,$3452.6,$-43.6,$81.7,1500,$3452.6,$-43.6,$1857.8,$21.6,-1.3%,-2.3%,-201.9%,-0.55,-,-,-,65.2%,-28.2%,-9.6%,
U.S.,Grand Rapids Mich.,Home Equipment Furnishings,James P. Keane,https://www.steelcase.com,Public,SCS,$3443.2,$126,$1156.8,12700,$3443.2,$126,$2142.4,$849.8,3.7%,5.9%,14.8%,1.05,54.4%,8.8%,-,42.7%,6%,15.7%,
U.S.,Laurel Miss.,Food Production,Joe F. Sanderson Jr.,https://www.sandersonfarms.com,Public,SAFM,$3440.3,$53.3,$2742.4,17055,$3440.3,$53.3,$1774.1,$1417.7,1.5%,3%,3.8%,2.41,-10.7%,-25.9%,-4.9%,79.1%,17.7%,17.1%,
U.S.,Auburn Hills Mich.,Motor Vehicles & Parts,Jon Morrison,https://www.wabco-auto.com,Private,,$3421.4,$245.8,$6924.1,13911,$3421.4,$245.8,$4037.1,$1340.2,7.2%,6.1%,18.3%,4.78,-35.7%,-0.1%,32.3%,26.2%,5.3%,18%,
